"Test Number";"Description";"Dependencies (All tests dependent on Q0 aka Existence)";"Point Value";"# of Indents (leave blank for 0)"
"0";"HangmanViewController exists in Storyboard";"";"0";""
"1";"UILabel displays censored phrase using '_' or '-'";"";"1";""
"2";"UITextField or custom input using UIButtons";"";"1";""
"3";"'Guess' UIButton";"";"1";""
"4";"Hangman UIImageView exists";"";"1";""
"5";"'Incorrect Guesses' UILabel displays incorrect guess";"2, 3";"1";""
"6";"Incorrect guess changes hangman UIImageView state (sorry, mr. hangman 👀 )";"2, 3, 4";"1";""
"7";"Only allows single letter guesses (UITextView), or tap multiple letters before guessing (custom keyboard)";"1, 2, 3, 5";"1";""
"8";"Correct guess updates censored phrase UILabel";"1, 2, 3, 5";"1";""
"9";"Alert upon winning";"2, 3";"1";""
"10";"Win Alert has 'New Game' action that resets state";"9";"1";""
"11";"'New Game' UIButton exists";"2, 3";"1";""
"12";"Pressing 'New Game' button resets the game state";"11";"1";""
"13";"Alert upon losing";"2, 3, 11";"1";""
"14";"HangmanViewController has no ambiguous layout constraints";"";"1";""
